Title,Price,Sold,Reviews,Condition,Display Technology,Model,Maximum Resolution,Refresh Rate,Features,Color,Smart TV Features,Audio/Video Inputs,Year Manufactured,MPN,Brand,Manufacturer Warranty,Screen Size,UPC,Energy Star,Type,Warranty - Labor,Warranty - Parts,Built-in Digital Tuner,Custom Bundle,3D Technology,EAN,Manufacturer,Assembled Product Dimensions (L x W x H),Manufacturer Part Number,Connector Type,Streaming Services,Is Smart,Resolution,Assembled Product Weight,ISBN,Format,EC Range,Series,Country/Region of Manufacture,Model#,Manufacturer Color,Plug Type,Material,Color System,Voltage,Speaker,Depth (with stand),Width (with stand),Height (with stand),Compatible Brand,Class of efficiency energy,Scale of efficiency energy,modell,Internetverbindung,Processor,Speicherkapazität,Ability to storage,Functionality Smart TV,Inputs Audio / Video,Internet connectivity,Storage capacity,Tuner digital integrated1,Tuner digital integrated2,Tuner digital integrated3,Tuner digital integrated4,Functionality Smart TV1,Inputs Audio / Video1,Tuner digital integrated,Functionality Smart TV2,Size,Televisions:Screen_Size_Class,Home_Video:Series,Bundle Description
"*NEW* ONN 43"" Class 4K UHD (2160P) LED Roku Smart TV HDR (100012584)",240.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,100012584,2160p (4K),60 Hz,HDR TV,Black,"Closed Captioning (CC), Downloadable Apps, Internet Browsing, Netflix, Roku TV",HDMI,,100012584,ONN,,43 in,,A+++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net'flix HDMI ULTRA HD 4K SAMSUNG LG Smart QLED ,6.95,56 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",QLED,Samsung Q80T,4K,60 Hz,"2 Port USB Hub, 3D Glasses Included, Ambient Light",Red,"Android TV, Closed Captioning (CC), Downloadable Apps, Home Automation Control, Home Network Streaming, Internet Streaming Interface, Netflix","Audio-In Jack (3.5mm), Bluetooth, HDMI, SCART, S-Video, USB",2013,k80t,Samsung,1 Month,55in,,2 Stars,,,,DVB-C,Yes,Active 3D Technology,,,,,,,,,,,,A+ - G,,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net'flix HDMI ULTRA HD 4K SAMSUNG LG Smart QLED,6.85, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",QLED,SAMSUNG LG Smart QLED,2160p (4K),,,,Netflix,HDMI,2013,,Samsung,1 Month,55 in,,,,,,,,,,,,,,,,,,,,A - G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7"" HD Smart LCD TV Mini LED Music Television Player Audio Subwoofer HDMI USB",90.58,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LCD,1080P,1080p (FHD),,Wall Mountable,,,HDMI,,Does Not Apply,Unbranded,,,,,,,,,,,,,,,,,,800*480,,,,,,,,,US Plug,Metal,PAL/SECAM/NTSC,100-240V,2 * 32mm round speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Hisense 32"" Class 720P HD LED Roku Smart TV 32H4030F1 With Remote",174.99,Last item available,"['Great tv. Easy to program &amp; operate. I can also stream my favorite music on it too. Very convenient. I am very satisfied. ', 'Awesome tv great picture quality...high volume speakers so far so good ', ""I got this TV because I have one like it in another room. It's easy to use, it was a no fuss set up and I recommend it to be a great TV for bedrooms, or any room."", 'My Daughter loves her tv. Thank you very much ', 'Came as advertised no damage', 'It’s a great product makes the tv stand out.     Thank you', 'Grasias porel arriculo de muy buena calidada']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,32H4030F1,720p,60 Hz,12V/240V TV,Black,"Netflix, Internet Streaming Interface, Android TV, Downloadable Apps, Home Network Streaming, Internet Browsing","Digital Audio Optical TOSLINK, USB, Coaxial F, HDMI",Dec 2019,32H4030F1,Hisense,,32 in,0819130025896,A+++,,,,ATSC,,,,Hisense,28.70 x 6.70 x 18.40 Inches,32H4030F1,"HDMI, USB, Optical",VUDU; Netflix; Youtube; Showtime; Starz; Google Play; Sling; Hulu,Y,720p,19 lb,,Flat,,H4 Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TCL 55S431 58"" Class 4-series 4k UHD HDR Roku Smart TV",489.99,9 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,55S431,4K UHD,120 Hz,"12V/240V TV, HDR TV",Black,Android TV,"Coaxial F, HDMI, USB",,55S431,TCL,,58 in,,,,,,ATSC,,"2D to 3D Conversion, 3D to 2D Conversion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW Insignia 24” Class F20 Series Smart HD 720p Amazon Fire TV, 2020 Model",,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,NS-24DF310NA21,720p (HD),60 Hz,"Anti-Glare, Flat Screen, Wi-Fi Ready, 60Hz panel refresh rate, 3 HDMI Inputs, Voice Remote, smart TV, 1 USB port, Headphone Jack, Dolby sound, Alexa",Black,Downloadable Apps,"USB, HDMI",2020,NS24DF310NA21,Insignia,1 Year,24 in,0600603273322,A+,,,,ATSC,No,No,0600603273322,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VIZIO 50"" Smart TV (Latest Model)(New)",300.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,V505-J09,2160p (4K),60 Hz,"Anti-Glare, Ambient Light, Built-in Speakers, Eco Mode, Game Mode, Wi-Fi Ready, HDR TV, Remote Control Included",Black,"Downloadable Apps, Netflix, Internet Streaming Interface",,,,VIZIO,,50 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hisense 40-Inch 40H5500F Class H55 Series Android Smart TV with Voice Remote,300.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,Hisense 40H5500F,1080p (FHD),,,,Android TV,,,,Hisense,,40 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG SMART LED TV 32"" CLASS (31.5"") Latest Canada Model",599.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,UN32M4500,"SMART LED TV 32""","SMART LED TV 32""","SMART LED TV 32""","SMART LED TV 32""","SMART LED TV 32""","SMART LED TV 32""",,5891532,Samsung,1 Month,32 in,887276258638,,,,,"SMART LED TV 32""",No,"SMART LED TV 32""",,,,,,,,,,,,,,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG SMART 4K TV 43"" CLASS (42.5""), Latest Canada Model",999.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",SMART 4K TV,UN43TU7000,SMART 4K TV,SMART 4K TV,SMART 4K TV,SMART 4K TV,SMART 4K TV,SMART 4K TV,,5107043,Samsung,1 Month,43 in,887276403731,,,,,SMART 4K TV,No,SMART 4K TV,,,,,,,,,,,,,,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-Inch Class SAMSUNG TV LED Smart 4K Crystal HDR UHD TU7000 - SEALED,549.0,13 watchers,"['The images on the screen are even more clear than what we had with our previous tv. I respect Samsung after having a 42"" tv lasted us 15 years, and will still function visually, just not audio. This tv doesn\'t have 10-20 red/white/yellow holes for audio/video games which was very nice to not have to deal with when setting it up. It\'s much lighter than our previous tv also. This was definitely a smart purchase. I\'ve also had Samsung cell phones, and they are always reliable.', ""I have gotten vizio and LG tvs before and I can say without a doubt that samsung tvs have the best user interface. Also if you have spectrum tv, samsung is the only brand I know of that will let you download the spectrum tv app... LG may have better image quality, but it doesn't matter if the user interface doesn't reflect their image quality. I would pick samsung tvs over any other brand. "", ""It is easy to lift , easy to set up and the picture quality blew me away the sound is of great quality also. I believe I'm going to be very happy with this purchase"", 'Name Brand , Works soo well , It is Smart , Arrived on Time , Great Price , Happy as can be , do not wait , Buy one . ', 'It is a nice TV but you have to sign your privacy away by agreeing to two different agreements which state they are going to monitor your usage and sell the information to advertisers.  Also, you cannot install any apps like Amazon Prime without creating an account at the samsung website which ties your information to your email address.  Very Frustrating.', 'Excellent picture. Easy to set up. Remote control is easy to use.', 'I am very happy with the Samsung TV great picture quality no complaints, thanks ', ""High quality picture and sound, pretty lightweight and easy to use, for what you get at this price...it's steal. Highly recommended.👍👍👍"", 'This TV is very good. Picture quality and sound is excellent. Price is not bad either. ', 'Great TV, easy to set up']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,Samsung TU7000,2160p (4K),60 Hz,"Wi-Fi Enabled, Wall Mountable",Gray,"Internet Streaming Interface, Home Network Streaming, Internet Browsing","Coaxial F, HDMI, USB 2.0",2020,UN50TU7000FXZA,Samsung,,50 in,705353385513,,Smart TV,,,"QAM, ATSC",,,0313105424498,Samsung,44.00 x 9.80 x 28.10 Inches,UN50TU7000FXZA,2 x HDMI; 1 x USB (2.0); 1 x Composite In (AV); 1 x Digital Audio,"Netflix, HBO NOW, Hulu, CBS, VUDU, Google Play Movies & TV, YouTu",Y,4K UHD,25.6 lbs,Does not apply,Flat,,7 Series,,,,,,,,,9.80,44,28.10,For Sony,,,,,,,,,,,,,,,,,,,,,,,
Samsung T5500 108cm (43 Inch) Full HD LED Smart TV ,1249.0,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,Samsung T5500,‎1920 x 1080 pixels,,,Black,Full HD Smart LED TV,,,,Samsung,,43 in,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung Un75nu7100 75"" 4K LED Smart UHD TV",1200.0,9 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,NU7100,2160p (4K),60 Hz,"Wall Mountable, Flat Screen",,,HDMI,,UN75NU7100FXZA,Samsung,,75 in,0843342127666,,,,,ATSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung TU7000 50"" 4K LED Smart TV - Titan Gray",635.0, ,"['The images on the screen are even more clear than what we had with our previous tv. I respect Samsung after having a 42"" tv lasted us 15 years, and will still function visually, just not audio. This tv doesn\'t have 10-20 red/white/yellow holes for audio/video games which was very nice to not have to deal with when setting it up. It\'s much lighter than our previous tv also. This was definitely a smart purchase. I\'ve also had Samsung cell phones, and they are always reliable.', ""I have gotten vizio and LG tvs before and I can say without a doubt that samsung tvs have the best user interface. Also if you have spectrum tv, samsung is the only brand I know of that will let you download the spectrum tv app... LG may have better image quality, but it doesn't matter if the user interface doesn't reflect their image quality. I would pick samsung tvs over any other brand. "", ""It is easy to lift , easy to set up and the picture quality blew me away the sound is of great quality also. I believe I'm going to be very happy with this purchase"", 'Name Brand , Works soo well , It is Smart , Arrived on Time , Great Price , Happy as can be , do not wait , Buy one . ', 'It is a nice TV but you have to sign your privacy away by agreeing to two different agreements which state they are going to monitor your usage and sell the information to advertisers.  Also, you cannot install any apps like Amazon Prime without creating an account at the samsung website which ties your information to your email address.  Very Frustrating.', 'Excellent picture. Easy to set up. Remote control is easy to use.', 'I am very happy with the Samsung TV great picture quality no complaints, thanks ', ""High quality picture and sound, pretty lightweight and easy to use, for what you get at this price...it's steal. Highly recommended.👍👍👍"", 'This TV is very good. Picture quality and sound is excellent. Price is not bad either. ', 'Great TV, easy to set up']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,Samsung TU7000,2160p (4K),,"Wi-Fi Enabled, Wall Mountable",Gray,"Internet Streaming Interface, Home Network Streaming, Internet Browsing","Coaxial F, HDMI, USB 2.0",2020,UN50TU7000FXZA,Samsung,,50 in,0887276402147,,,,,"QAM, ATSC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net'flix HDMI ULTRA HD 4K SAMSUNG LG Smart QLED,20.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",QLED,SAMSUNG LG Smart QLED,2160p (4K),,,,Netflix,HDMI,2013,,Samsung,3 Months,55 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG OLED65C1 65 inch Class 4K Smart OLED TV w/AI ThinQ  OLED65C1PUB,1599.0,118 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",OLED,OLED65C1PUB,2160p (4K),120 Hz,"Built-in Speakers, Flat Screen, Game Mode, HDR TV, HDTV Enabled, Mirror TV, Remote Control Included, Sleep Timer, Sports Mode, UpScaling to 4K, Virtual Surround, Wall Mountable, Wallpaper TV, Wide View Angle, Widescreen (16:9), Wi-Fi Ready, Wi-Fi Enabled",,"Downloadable Apps, Home Automation Control, Home Network Streaming, Internet Browsing, Internet Streaming Interface, Netflix, Opera TV, Screen Mirroring, Video Calling, Voice Interaction","DisplayPort, HDMI, TV Anetnna, USB",,,LG,,65 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net'flix HDMI ULTRA HD 4K SAMSUNG LG Smart QLED,6.95, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",QLED,SAMSUNG LG Smart QLED,2160p (4K),60 Hz,"12V/240V TV, 2 Port USB Hub, Eco Mode",Red,"Android TV, Netflix",HDMI,,43un7000,Samsung,,43 in,,2 Stars,,,,,,,,,,,,,,,,,,A+ - G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TCL 55"" Class 4-Series 4K UHD HDR Smart Roku TV - 55S435",610.34,30-day returns,"['Good price for the size of tv. Easy to setup all the apps I already had. Great price an sound. Would definitely buy again. ', ""I never had a smart tv. It has so many apps. I didn't use it for the first 2 days. I was afraid of it. lol Then I had my son-in-law come and show me how to work it. Since then I have not stopped watching it. It's the best tv I have ever bought. I would recommend this tv to anyone. I am 66 and loving it!!!"", 'I feel the price was ok for the size TV 55inch but the resolution is not so good lacks speed but I really don’t care because I put it in my guest room but personally I would buy Sony for my room last for a long time and the resolution is amazing but the price is a lot more  definitely worth it when compared to TLC ', 'tv has very good picture, easy to set up', 'Excellent tv. You can watch free tv, or any show in the internet. Great quality.', 'I got everything I wanted in a New 55in. Television 📺! My Roku TV is Wonderful!', 'The quality is everything... Picture in UHD is by far better then HDR.. THEY SHOULD NOT BE IN THE SAME SENTENCE... ', 'Great T.V., really like it. Nice picture, sound is OK, easy to use!', 'I have had this TV for less than 2months and the picture is black. Worst purchase ever!', 'All PRO, no cons! Magnificent picture! Love it!!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,TCL 55S435,2160p (4K),,"Wall Mountable, HDR TV",Black,"Voice Interaction, Downloadable Apps","Digital Audio Optical TOSLINK, USB, Composite Video RCA, HDMI, TV Anetnna",,55S435,TCL,,55 in,846042016889,,,,,,,,0846042016889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung T5500 108cm (43 Inch) Full HD LED Smart TV ,999.0,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,Samsung T5500,Full HD LED Smart TV,,,,,,,,Samsung,,43 in,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hisense 32-in. Smart 720p TV 32H41G (Latest Canada Model) ,349.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LCD,Hisense H4G,1080p (FHD),120 Hz,"Virtual Surround, Wi-Fi Enabled, Headphone Jack, Wall Mountable",Black,"Voice Interaction, Internet Browsing","Digital Audio Optical TOSLINK, USB, HDMI",,8684032,Hisense,1 Month,32 in,0888143008066,see pack,,,,SEE PACK,No,see pack,,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LG 65UP78003 TV 65in(65) 4K Ultra HD Smart TV wi-Fi Black """,858.58,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,Does not apply,3840 x 2160 Pixel,60 Hz,Flat Screen,Black,,,,SKUPWTC40962,LG,,"65""",,,Smart TV,,,,,,8806091223548,,,,,,,,,,,,,,,,,,,,,,,,,G,A - G.,65UP78003,,,,,,,,,,,,,,,,,,,,
"SAMSUNG UE43AU7172U 43in (43) 4K Ultra HD Smart TV wi-Fi Grey """,598.49,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",ND,Does not apply,ND,,,ND,,,,SKUPWTC40213,Samsung,,ND,,,ND,,,,,,8806092076396,,,,,,,,,,,,,,,,,,,,,,,,,,,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,
"LG 43UP7500 43in (43) 4K Ultra HD Smart TV wi-Fi Black """,474.81,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,Does not apply,3840 x 2160 Pixel,,,Black,,,,SKUPWTC40421,LG,,"43""",,,,,,,,,8806091218131,,,,,,,,,,,,,,,,,,,,,,,,,,,43UP7500,,,,,,,,,,,,,,,,,,,,
"LG 28tn515s-pz TV 27 1/2in (27.5) HD Smart TV wi-Fi Black """,343.88,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,Does not apply,768p,,"Built-in Speakers, Wall Mountable",Black,,,,28TN515SPZ,LG,,"28""",,,ND,,,,,,8806098785407,,,,,,,,,,,,,,,,,,,,,,,,,,,LG 28TN515S-PZ,,ND,,ND,Navigation Web,"USB 2.0, TV Antenna, HDMI",ND,ND,,,,,,,,,,,,
"LG 55UN711C 55in (55) 4K Ultra HD Smart TV wi-Fi Black """,660.97,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,Does not apply,2160p (4K),60 Hz,"Flat Screen, Wi-Fi Ready, HDR TV, Bluetooth",Black,,,,SKUPWTC40947,LG,,"55""",,,,,,,,,8806091029942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Navigation Web,TV Antenna,,,DVB-T,DVB-S2,DVB-C,DVB-S,Applications download,HDMI,DVB-T2,Netflix,,,,
LG Smart TV 42LF5800  Full HD LED Wide View IPS 1920x1080 Surround 2.0ch,1899.99,59 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,42LF5800,1080p,,,,,,,322L00FH,LG,,106cm,8806087322217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hisense 43-in. 4K HDR Roku Smart TV 43R61G (Canada Model),599.99,7 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Full-Array LED-LCD,43R61G,3840x2160 (4K UHD),60Hz,HDR TV,see pack,Smart TV 43R61G,see pack,,8696343,Hisense,,43 in,888143010236,see pack,,,,,,see pack,,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VIZIO V-Series 58"" 4K LED Smart TV - V585-J01",721.43,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,V585-J01,2160p (4K),,,,,,,008-09-0077,Vizio,,58 in,845226019630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VIZIO V-Series 55"" Class 4K HDR Smart TV - V555-J01",689.69,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,V-Series,2160p (4K),,,,,,,008-09-7847,Vizio,,"55""",845226019517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43"" LG 4K UHD 2160p USB Composite HDMI Smart LED LCD IPS TV 43UR640S0UD",623.76,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,LG 43UR640S0UD,2160p 4K UHD 3840x2160,,,,,,,43UR640S0UD,LG,,"42""",195174014400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westinghouse 55 4K Ultra HD Roku Smart TV with HDR (WR55UX4019 / WR55UT4009),642.08,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",OLED,Roku TV,2160p (4K),,,,,,,008-09-1282,Westinghouse,,55,813784022645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VIZIO V-Series 50"" Class 4K HDR Smart TV - V505-J09",642.08,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,V505-J09,2160p (4K),,,,,,,008-09-0634,Vizio,,50,845226019623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMSUNG 75-inch Class QLED Q60T Series - 4K UHD Dual LED Quantum HDR Smart TV,1786.27,25 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Does not apply,Does not apply,,,,,,,,Does not apply,,Does not apply,7445017186133,,Does not apply,,,,,,07445017186133,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,
Insignia 32” Class LED HD Smart Fire TV Edition with Remote - Brand New In Box,189.99,18 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,Does not apply,Does not apply,,,,,,,NA,Insignia,,Does not apply,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32""",Smart HDTV Fire TV,
